claim_id,outline_section,claim_ru,verdict,evidence_kind,evidence_ids,figure_or_table,counterevidence,limitation
cl-conf-scale,2. Корпус и метод,Конференционный корпус Рериховских/Зографских чтений содержит 1362 доклада за 2004–2026 гг. при полном покрытии базы программ.,supported,metric,coverage.conferences,lens_source_coverage.csv,Покрытие полное только в пределах самой базы программ; доклады вне программ в неё не попадают.,"Единица — доклад (presentation), а не человек и не публикация."
cl-conf-period-composition,3. Масштаб и структура участия,"Внутри конференционной линзы доля докладов периода 2018–2025 выше доли периода 2005–2010 (композиция внутри линзы, знаменатель — датированные доклады).",supported,metric,activity.conferences.2005-2010|activity.conferences.2018-2025,fig1_activity_by_period.svg,"Рост числа докладов может отражать изменение практики учёта программ, а не рост сообщества; данных для различения этих объяснений нет.","Описательное сравнение долей, без причинного утверждения и без экстраполяции на индологию в целом."
cl-2026-partial,2. Корпус и метод,Записи 2026 года выделены в отдельный частичный снимок и не входят ни в один тренд 2005–2025.,supported,metric,activity.conferences.2026-partial|activity.vk_ors.2026-partial|activity.nagari.2026-partial,fig1_activity_by_period.svg,—,Частичный 2026 нельзя сопоставлять с годовыми темпами.
cl-conf-content-profile,4. Тематические профили,В конференционной линзе кроссволк-проекция содержания концентрируется в литературе/поэтике и религии/философии.,provisional,metric,content.conferences.literature_poetics.taxonomy_crosswalk|content.conferences.religion_philosophy.taxonomy_crosswalk,fig2_intellectual_content.svg,Кроссволк H1897 не принят человеком (review_status=pending); родные тематические коды остаются единственным принятым свидетельством.,"Знаменатель — доклады, размеченные по этой оси, а не все доклады."
cl-conf-gumilev,5. Микрокейс как норма,В конференционной линзе преобладает уровень G1 шкалы Гумилёва; G3 остаётся редким (11 докладов из 1361 размеченных).,supported,metric,gumilev.conferences.G1.gumilyov_scale_csv_deepseek|gumilev.conferences.G3.gumilyov_scale_csv_deepseek_strict_scale_audit,fig4_argument_level.svg,Разметка получена машинным проходом с последующим строгим аудитом шкалы; её собственный пакет надёжности относится только к докладам.,Применимо ТОЛЬКО к конференционной линзе.
cl-crosslens-gumilev,6. Обсуждение,Межлинзовое распределение шкалы Гумилёва не публикуется: пилот вне конференций не прошёл человеческую проверку.,out_of_scope,metric,gumilev.nagari.G1.deterministic_ruleset_pilot|gumilev.vk_ors.unknown.deterministic_ruleset_pilot,fig4_argument_level.svg,"Пилот даёт формально вычислимые доли, но порог V6 (согласие ≥80%, Gwet AC1 ≥0,67) не измерен.",Пилотные доли приводятся только как внутрилинзовая композиция.
cl-nagari-teaching,4. Тематические профили,В пилотном срезе nagari преобладают учебно-обучающая функция и текстологическое содержание.,provisional,metric,function.nagari.teaching_learning.taxonomy_crosswalk|content.nagari.texts_philology.taxonomy_crosswalk,fig3_community_function.svg,"Покрытие nagari — PILOT; доли описывают композицию размеченного среза, а не сообщество.",Никаких долей населения группы; знаменатель — размеченные сообщения среза.
cl-vk-biblio-series,4. Тематические профили,На стене ORS/VK существует устойчивая библиографическая рубрика: 313 из 7608 постов самопомечены #bookzealots.,supported,quote,Q-VK-22289,lens_source_coverage.csv,"Хэштег ставит сам автор страницы; это самоописание рубрики, а не независимая классификация.",Цитата в статусе прав pending_review — публиковать дословно нельзя до подтверждения.
cl-crosslens-persons,5. Микрокейс как норма,"Семь человек засвидетельствованы и в конференционной программе, и в закрытой группе nagari (641 упоминание), при пяти неоднозначных кандидатах, исключённых из счёта.",supported,metric,overlap.conferences|overlap.nagari,fig5_person_overlap.svg,Связи опираются на совпадение имён и замаскированных аккаунтов; пять кандидатов остались неразрешимыми и не засчитаны.,Именные межплощадочные утверждения не экспортируются до одобрения прав закрытой группы; совпадение площадок не означает миграцию сообщества.
cl-nagari-quotes-gated,5. Микрокейс как норма,Две зарегистрированные цитаты из nagari остаются неэкспортируемыми: права закрытой группы не подтверждены.,supported,quote,Q-NG-PANINI-ASK|Q-NG-PANINI-ANSWER,identity_quote_evidence.md,—,Пересказ вместо цитаты запрещён: при отсутствии прав пример опускается.
cl-orientation-premise,2. Корпус и метод,"Отнесение площадок к российской, западной и индийской ориентации — посылка отбора корпуса, а не измерение гражданства участников.",expert_judgment,expert_judgment,orientation.russia_centred.conferences|orientation.western_centred.indology_l|orientation.india_centred.bvp,fig6_orientation_contrast.svg,Часть участников российских площадок работает за рубежом и наоборот; ориентация форума этого не отражает.,"Экспертное суждение: p-значения не применяются, доля сообщества не считается."
cl-west-india-gap,6. Обсуждение,Сравнение России с западной и индийской площадками в этом снимке не проводится: INDOLOGY-L и BVP недоступны как источники.,out_of_scope,metric,coverage.indology_l|coverage.bvp,fig6_orientation_contrast.svg,—,"Пробел наблюдения, а не измеренный ноль: любое утверждение о Западе или Индии здесь было бы безосновательным."
cl-no-migration,6. Обсуждение,Совпадение активности на разных площадках не интерпретируется как переход сообщества с одной площадки на другую.,expert_judgment,expert_judgment,methodological_constraint:ROADMAP non-goals,fig5_person_overlap.svg,—,Ни один временной ряд в пакете не спроектирован для причинного вывода.
cl-renou-gate,6. Обсуждение,"Сравнение по слоям Рену не публикуется: действующий gold-review шлюз не пройден, а измеренная точность слоя ограничена.",out_of_scope,expert_judgment,methodological_constraint:docs/renou-precision-audit.md,classification_validity.md,—,Слой Рену остаётся внутренним рабочим инструментом.
