presentation_id,preliminary_level,audited_level,confidence,rationale,prompt_version
PRES_6e17572f1f,2,1,0.9,"Заголовок говорит о 'проблеме классификации' в рамках индуистских тантрических школ, что является внутренним вопросом одной традиции, а не обобщением всей традиции. Это методологическая или классификационная проблема внутри конкретного поля, а не широкое обобщение.",scale-audit-v2-2026-05-25
PRES_92c5268a51,2,1,0.9,"Заголовок конкретизирует фигуру царя и представления о времени в одном тексте — 'Махабхарате'. Это анализ конкретного текста, а не обобщение по всей эпической традиции.",scale-audit-v2-2026-05-25
PRES_9e203d9b3f,2,2,0.9,"Заголовок обещает рассмотрение взаимоотношений религиозных конфессий в средневековом Тамилнаде, что является региональным процессом и обобщением уровня традиции. L2 подтвержден.",scale-audit-v2-2026-05-25
PRES_2048f4153d,2,2,0.9,"Заголовок явно заявляет сравнительный анализ двух традиций (христианской и индо-буддийской) в современной литературе. Это обобщение уровня традиции, но без глобальной или цивилизационной рамки. L2 подтвержден.",scale-audit-v2-2026-05-25
PRES_37a471ecf5,2,1,0.9,"Заголовок 'К проблеме древнеиндийской хронологии' звучит как обобщение, но на самом деле это постановка проблемы, а не обзор всей хронологии. Без дополнительного контекста это скорее методологический вопрос, а не широкое обобщение. Снижаю до L1.",scale-audit-v2-2026-05-25
PRES_3fd8e2489c,2,2,0.9,Заголовок 'Кинематографический текст в современной индийской культуре' обещает обобщение о целой традиции (современная индийская культура). L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_693b5d83a6,2,2,0.9,Заголовок 'Индийские памятники героям в сравнительном освещении' обещает обобщение по типу памятников в индийской традиции. L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_a7d32d94a9,2,1,0.9,"Заголовок 'Типология храмовых сооружений в текстах пуран и «Брихатсамхите»' ограничен конкретными текстами (пураны и Брихатсамхита). Это анализ ограниченной группы текстов, а не обобщение всей традиции. Снижаю до L1.",scale-audit-v2-2026-05-25
PRES_0c496dfec3,2,1,0.9,"Заголовок 'Об эволюции образа Рудры-Шивы в священных текстах шрути' ограничен конкретным корпусом текстов (шрути). Это анализ эволюции в рамках одного класса текстов, а не всей традиции. Снижаю до L1.",scale-audit-v2-2026-05-25
PRES_844f6b86ea,2,2,0.9,Заголовок 'Образы фантастических животных в средневековой архитектуре Индии' обещает обобщение по типу образов и периоду (средневековая Индия). Это обобщение уровня традиции. L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_a9e0852a8d,2,2,0.9,Заголовок 'Традиция в интерпретации мыслителей Бенгальского Возрождения' обещает обобщение по школе/периоду (Бенгальское Возрождение). L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_c05d6f805a,2,1,0.9,"Заголовок 'Так что же такое карма?' является общим вопросом о концепте, но без указания на конкретный текст или традицию. Это скорее введение в тему, а не обобщение. Снижаю до L1.",scale-audit-v2-2026-05-25
PRES_d5a74ed7f6,2,2,0.9,Заголовок 'Народный театр «джатра» и его роль в формировании новой бенгальской литературы' обещает обобщение по жанру и региону (бенгальская литература). L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_e4b6786e6b,3,3,0.9,Заголовок 'Как сравнивать индийскую и западную эпистемологию? Опыт создания методологии компаративного исследования' явно заявляет глобальную сравнительную рамку между двумя цивилизационными традициями и создание методологии. L3 подтвержден.,scale-audit-v2-2026-05-25
PRES_415fb1eb4c,2,2,0.9,Заголовок 'Степные кочевники – иранцы II тыс. до н. э. – I тыс. н. э. и их языки' обещает обобщение о целой группе (иранские кочевники) за длительный период. L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_c305a62ca7,2,2,0.9,Заголовок 'Институт гутхи в древнем и средневековом Непале' обещает обобщение об институте в рамках одной традиции (Непал). L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_22c7444e36,2,2,0.9,Заголовок 'Символические модели Абсолютного Сознания в религиозно-мистической философии Кашмирского шиваизма. Некоторые методологические вопросы' обещает обобщение в рамках одной школы (Кашмирский шиваизм). L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_422410f9af,2,1,0.9,"Заголовок 'Происхождение атомизма: лингвистическая гипотеза' является гипотезой о происхождении, а не обобщением традиции. Это конкретная гипотеза, а не широкий обзор. Снижаю до L1.",scale-audit-v2-2026-05-25
PRES_523a56fd5b,2,2,0.9,"Заголовок 'Концепция Ишвары в классической йоге и в Кашмирском шиваизме' обещает сравнение концепции в двух школах, что является обобщением уровня традиции. L2 подтвержден.",scale-audit-v2-2026-05-25
PRES_6213023bf5,2,2,0.9,Заголовок 'Сат-чит-ананда как мост между христианством и индуизмом' обещает сравнение двух традиций через концепцию. Это обобщение уровня традиции. L2 подтвержден.,scale-audit-v2-2026-05-25
PRES_86c16283af,2,1,0.9,"Название 'Ранневишнуитская Веданта' указывает на конкретную школу внутри традиции, а не на обобщение всей традиции. Это ограниченный объект, соответствующий L1.",scale-audit-v2-2026-05-25
PRES_9550fd0f6b,2,1,0.8,"Формулировка 'Индийский текст индийской диаспоры' неясна и может относиться к одному тексту или явлению, но не обещает обобщения целой традиции или региона. Сомнение в пользу L1.",scale-audit-v2-2026-05-25
PRES_9627d4dfc0,2,2,0.9,"Название 'Восток, Запад и русский перевод' явно задает межкультурную рамку (Восток-Запад), что соответствует обобщению уровня традиции (L2).",scale-audit-v2-2026-05-25
PRES_96f8e44e84,2,2,0.9,"Сравнение двух раннебуддийских традиций (Абхидхарма и абхивиная) является обобщением уровня школы, что соответствует L2.",scale-audit-v2-2026-05-25
PRES_e2499adc9f,2,2,0.9,Обсуждение проблемы соотношения этики и знания в двух традициях (йога и индуистская тантра) — это обобщение уровня традиции (L2).,scale-audit-v2-2026-05-25
PRES_e85f779ed9,2,2,0.9,"Название 'Уровень смысла в текстах шастр' обещает обобщение о целом классе текстов (шастры), что соответствует L2.",scale-audit-v2-2026-05-25
PRES_f5b1c223f2,2,2,0.9,Рассмотрение особенностей интерпретации мыслителями целого движения (Бенгальское Возрождение) — это обобщение уровня школы (L2).,scale-audit-v2-2026-05-25
PRES_405fb6e1fc,2,2,0.9,"Обсуждение мифа, пространства и времени у алтайских народов в целом — это обобщение уровня традиции (L2).",scale-audit-v2-2026-05-25
PRES_53b81c004f,2,2,0.9,"Обобщение проблемы социоскрипторики на материале многоязычных надписей широкого региона и периода — это L2, так как рамка ограничена регионом (Бактрия-Индия) и периодом, без внешней сравнительной рамки.",scale-audit-v2-2026-05-25
PRES_dcfff95b9e,2,2,0.9,"Сравнительный анализ в трех традициях (тибетской, китайской, японской) — это обобщение уровня традиций (L2), так как рамка ограничена буддийским миром.",scale-audit-v2-2026-05-25
PRES_54a32921dc,3,3,0.9,"Название явно заявляет сравнительный анализ генезиса рефлексии в двух цивилизационных традициях (индийской и европейской), что является глобальной рамкой (L3).",scale-audit-v2-2026-05-25
PRES_a80206461e,2,1,0.9,"'Типовой мотив-ситуация в Махабхарате' — это анализ одного текста (Махабхарата), что соответствует L1.",scale-audit-v2-2026-05-25
PRES_f7c2f21e54,2,1,0.9,"'Концепция игры в индийской традиции (кридаяника в «Натьяшастре»)' — уточнение в скобках указывает на конкретный текст (Натьяшастра), что сужает до L1.",scale-audit-v2-2026-05-25
PRES_32d7da4752,2,2,0.9,"Сравнение буддизма и современных когнитивных концепций — это обобщение уровня традиции (буддизм) и современной научной парадигмы, что соответствует L2.",scale-audit-v2-2026-05-25
PRES_4b995fc30a,2,2,0.9,"Обобщение о хронологии и генеалогии в санскритских текстах в целом — это L2, так как охватывает класс текстов.",scale-audit-v2-2026-05-25
PRES_50a29145a7,2,2,0.9,"Обобщение о традициях веротерпимости в древней и средневековой Индии — это L2, так как рамка ограничена регионом и периодом.",scale-audit-v2-2026-05-25
PRES_96ae1b26ae,2,2,0.9,"Обобщение о представлениях кочевников Центральной Азии — это L2, так как рамка ограничена регионом.",scale-audit-v2-2026-05-25
PRES_eda7195a4d,2,2,0.9,"Обзор истории духовной культуры Непала — это L2, так как рамка ограничена одной страной.",scale-audit-v2-2026-05-25
PRES_36278778ba,2,2,0.9,"Реконструкция сюжета на основе мифологий нескольких групп (северные мунда, евразийские степи) — это обобщение уровня традиций (L2).",scale-audit-v2-2026-05-25
PRES_5b9c7fa5b6,2,2,0.9,"Обсуждение санскритизации и языковой политики — это обобщение уровня явления (L2), так как затрагивает широкий класс явлений.",scale-audit-v2-2026-05-25
PRES_5b9d992a66,2,1,0.9,"Заголовок 'Некоторые аспекты полемического дискурса в индийских религиозно-философских традициях' указывает на рассмотрение аспектов в рамках одной региональной традиции (индийские традиции), что соответствует L1. Слово 'некоторые' дополнительно ограничивает масштаб.",scale-audit-v2-2026-05-25
PRES_5deb828215,2,1,0.9,"Заголовок 'Существует ли психофизическая проблема (mind-body problem) в буддизме?' ставит вопрос о наличии конкретной проблемы в одной традиции (буддизм), что является L1.",scale-audit-v2-2026-05-25
PRES_77ba89aeed,2,2,0.9,"Заголовок 'Буддизм и юнгианство' явно сопоставляет две различные традиции (буддийскую и западную психологическую), что выводит на уровень обобщения L2.",scale-audit-v2-2026-05-25
PRES_9f66f4e714,2,1,0.9,"Заголовок 'Энергийный прагматизм в тамильской культуре' описывает явление в рамках одной региональной культуры (тамильская), что соответствует L1.",scale-audit-v2-2026-05-25
PRES_cb03ffd1cc,2,1,0.9,"Заголовок 'Половозрастная стратификация общества в ведийских текстах' ограничен одним корпусом текстов (ведийские), что является L1.",scale-audit-v2-2026-05-25
PRES_d1ddc8c000,2,1,0.9,"Заголовок 'Следуя воле звезд: Индийская астрология и практика предсказаний стихийных бедствий' описывает практику в рамках одной традиции (индийская астрология), что соответствует L1.",scale-audit-v2-2026-05-25
PRES_df563ac2ff,2,1,0.9,"Заголовок 'Проблема энергии в тантре' рассматривает конкретную проблему в рамках одной традиции (тантра), что является L1.",scale-audit-v2-2026-05-25
PRES_fb8b7f76bc,2,2,0.9,"Заголовок 'Другой в традиции индуизма и философии Бенгальского Возрождения: Опыт сопоставления' явно сопоставляет две традиции (индуизм и Бенгальское Возрождение), что выводит на уровень L2.",scale-audit-v2-2026-05-25
PRES_1a19c546ea,2,1,0.9,"Заголовок '«Третье измерение» в непальской поэзии' описывает тенденцию в рамках одной национальной литературы (непальская), что соответствует L1.",scale-audit-v2-2026-05-25
PRES_20d92e0dfe,2,2,0.9,"Заголовок 'Эволюция жанра шахрашуб в контексте взаимодействия персоязычной литературы и литературы урду' явно рассматривает взаимодействие двух литературных традиций, что выводит на уровень L2.",scale-audit-v2-2026-05-25
PRES_44b7051738,2,1,0.9,"Заголовок 'Формула «бхукти — мукти» и сотериологический антиномизм индуистской тантры' основан на одной формуле в рамках одной традиции (индуистская тантра), что является L1.",scale-audit-v2-2026-05-25
PRES_485b7b3478,2,2,0.9,"Заголовок 'Осел/бык в индоиранской картине мира' явно сравнивает образ в двух культурных ареалах (индийский и иранский), что выводит на уровень L2.",scale-audit-v2-2026-05-25
PRES_4acd5d51b5,2,1,0.9,"Заголовок 'Эволюция буддистского учения о не-«я»: две концепции анатмавады' рассматривает эволюцию учения в рамках одной традиции (буддизм), что является L1.",scale-audit-v2-2026-05-25
PRES_8bd27d8f20,2,1,0.9,"Заголовок 'Две парадигмы монизма в интерпретации «Бхагавадгиты»: Шанкара и Рамануджа' сравнивает интерпретации одного текста двумя мыслителями, что является L1.",scale-audit-v2-2026-05-25
PRES_92e44ac148,2,2,0.9,"Заголовок 'О взаимовлиянии индуизма и буддизма в религии непальцев (легенды, иконография, личные наблюдения)' явно рассматривает взаимовлияние двух традиций (индуизм и буддизм), что выводит на уровень L2.",scale-audit-v2-2026-05-25
PRES_a72801a7e5,2,1,0.9,"Заголовок 'Образ индуизма в религиозно-философской мысли Бенгальского Ренессанса' описывает образ в рамках одного течения (Бенгальский Ренессанс), что является L1.",scale-audit-v2-2026-05-25
PRES_c753d8108f,2,1,0.9,"Заголовок '«Бенгальский стиль» в индийском танце: традиционное, креативное, политическое измерения' описывает один стиль в рамках одной традиции (индийский танец), что является L1.",scale-audit-v2-2026-05-25
PRES_ca1df3941d,2,1,0.9,"Заголовок 'Дхарма и буддология. Актуальные проблемы' описывает актуальные проблемы в рамках одной области (буддология), что является L1.",scale-audit-v2-2026-05-25
PRES_1e1cbc95e7,2,1,0.9,"Заголовок 'Бог и человек в поэзии Тагора. От «Иша-упанишады» до «Писем о России»' рассматривает тему в творчестве одного автора (Тагор), что является L1.",scale-audit-v2-2026-05-25
PRES_235b11e4e7,2,1,0.9,"Заголовок 'Летописный текст и феномен «изображение» в буддийской традиции Тибета' описывает феномен в рамках одной региональной традиции (тибетский буддизм), что является L1.",scale-audit-v2-2026-05-25
PRES_2545b7a0c5,2,1,0.85,"Заголовок указывает на конкретные роли (танцовщица, покровитель) и локальный контекст (восточные области Индии). 'Контексты взаимоотношений' не обещает обобщения целой традиции или региона, а скорее анализ конкретных случаев.",scale-audit-v2-2026-05-25
PRES_3c0208406b,2,1,0.9,"Заголовок фокусируется на одном средневековом тексте ('Тарих-и Рашиди') и его актуализации в современном мире. Это конкретный текст, а не обобщение о Центральной Азии в целом.",scale-audit-v2-2026-05-25
PRES_42588a671c,2,2,0.9,"Заголовок обещает обобщение о роли буддизма в культурном единстве Азии, что охватывает целый регион и традицию. Это соответствует L2.",scale-audit-v2-2026-05-25
PRES_80c3a05563,2,2,0.9,"Заголовок обещает обобщение о формульности целого класса объектов (индийские дарственные надписи), что выходит за рамки одного текста или ограниченной группы. Это L2.",scale-audit-v2-2026-05-25
PRES_cf88b0bf9e,2,2,0.9,"Заголовок обещает обобщение о складывании сикхского двора и придворной культуры, что охватывает исторический процесс в рамках одной традиции. Это L2.",scale-audit-v2-2026-05-25
PRES_fc155b3a33,2,2,0.9,"Заголовок обещает обобщение представлений об Арьяварте в исторической перспективе, что охватывает целую традицию и регион. Это L2.",scale-audit-v2-2026-05-25
PRES_fc5fc5500b,2,1,0.85,"Заголовок обсуждает истоки 12-летнего животного цикла, что является конкретным явлением, а не обобщением целой традиции. 'К вопросу об истоках' указывает на исследование одного объекта.",scale-audit-v2-2026-05-25
PRES_01c8c172a9,2,1,0.8,"Заголовок 'О символическом языке вещей' слишком общий и не указывает на конкретную традицию или регион. Без уточнения это может быть общеметодологическим рассуждением, но скорее всего относится к конкретному контексту. При сомнении выбираем L1.",scale-audit-v2-2026-05-25
PRES_3666aae128,2,2,0.9,"Заголовок обещает обобщение опыта мыслителей Бенгальского Возрождения, что охватывает целую школу или региональный процесс. Это L2.",scale-audit-v2-2026-05-25
PRES_85aa1ef84a,2,2,0.9,"Заголовок обсуждает происхождение термина 'индуизм', что затрагивает историю дисциплины и целой традиции. Это обобщение уровня L2.",scale-audit-v2-2026-05-25
PRES_9484337e22,2,2,0.9,"Заголовок сравнивает концепцию майи у двух мыслителей, что выходит за рамки одного текста и представляет собой сопоставление в рамках одной традиции. Это L2.",scale-audit-v2-2026-05-25
PRES_9f51b09a94,2,3,0.9,Заголовок явно заявляет межтрадиционную рамку: сравнение веданты (индийская традиция) и европейского романтизма. Это соответствует L3.,scale-audit-v2-2026-05-25
PRES_aa8cf0310f,2,2,0.9,Заголовок обещает обобщение о классификации наук в целой традиционной индийской культуре. Это L2.,scale-audit-v2-2026-05-25
PRES_d9c413501e,2,2,0.9,"Заголовок обещает обобщение о восьмиугольных понятийных схемах в индийской рациональности, что охватывает целую традицию. Это L2.",scale-audit-v2-2026-05-25
PRES_25c542e83e,2,2,0.9,"Заголовок обещает обобщение о религии как инструменте внутренней политики Индии, что охватывает уровень страны. Это L2.",scale-audit-v2-2026-05-25
PRES_38f0bf3fa1,2,2,0.9,"Заголовок обещает обобщение о южноиндийских божествах и гендерных аспектах, что охватывает регион. Это L2.",scale-audit-v2-2026-05-25
PRES_446d1622e0,2,2,0.9,"Заголовок сравнивает психологию Бога в двух традициях (кашмирский шиваизм и у Якоба Беме), что является межтрадиционным обобщением. Однако рамка ограничена двумя школами, а не глобальным сравнением, поэтому L2.",scale-audit-v2-2026-05-25
PRES_aa4df50cf0,3,3,0.9,"Заголовок заявляет древние южноазиатско-африканские связи, что является глобальной, межрегиональной рамкой. Это L3.",scale-audit-v2-2026-05-25
PRES_adefba4b15,2,2,0.9,"Заголовок обещает обобщение о феномене Рамакришны и формировании неоиндуизма в Бенгалии, что охватывает региональный процесс и традицию. Это L2.",scale-audit-v2-2026-05-25
PRES_2fba1f0162,2,1,0.85,"Заголовок прослеживает образ брахмаракшаса от древности до современности, что является конкретным сюжетом или образом, а не обобщением целой традиции. Это L1.",scale-audit-v2-2026-05-25
PRES_4306e74d40,2,1,0.9,"Сравнение двух конкретных мифов (индийского и месопотамского) — это сопоставление ограниченных объектов, а не обобщение целой традиции или класса явлений. Заголовок не обещает обобщения о всех мифах о потопе, а лишь рассматривает возможность генетической связи между двумя конкретными текстами.",scale-audit-v2-2026-05-25
PRES_53522f63c1,2,2,0.9,"Заголовок явно обещает обобщение о связи двух крупных традиций (брахманистский философский дискурс и народный индуизм), что соответствует L2.",scale-audit-v2-2026-05-25
PRES_891e3870db,2,2,0.9,"Заголовок обещает обобщение о генезисе неоиндуизма в Бенгалии, что является обобщением уровня традиции (L2).",scale-audit-v2-2026-05-25
