label_id,label,definition,inclusion,exclusion,examples,parent_label_id,status,version
research_presentation,Research presentation or exposition,The item presents original research or an expository account of a topic.,Conference talks; long-form expository posts.,Pure event logistics (see event_announcement).,a conference paper abstract,,active,1.1.0
interpretation_analysis,Interpretation and analysis,The item interprets or analyzes an existing text/problem without new primary research.,Commentary threads; close-reading discussion.,Bare fact lookup (see identification_textual_help).,a close reading of a verse,,active,1.1.0
identification_textual_help,Identification or textual help,A request for or provision of help identifying a text/term/passage.,"""What text is this quote from?"" threads.",Substantive interpretive analysis (see interpretation_analysis).,identify this verse's source,,active,1.1.0
bibliographic_request,Bibliographic request,A request for or provision of reading/reference recommendations.,"""Where can I find secondary literature on X?""",Resource sharing without a request (see resource_sharing).,asking for a bibliography on a topic,,active,1.1.0
resource_sharing,Resource sharing,Unsolicited sharing of a text/tool/link.,Posting a PDF; sharing a corpus link.,A reply answering a bibliographic request.,sharing a scanned manuscript link,,active,1.1.0
teaching_learning,Teaching and learning,Pedagogical exchange between teacher and learner.,Classroom questions; course announcements about content.,Job/training announcements (see jobs_grants_training).,asking how to parse a compound,,active,1.1.0
scholarly_debate,Scholarly debate,Substantive disagreement between scholars on a scholarly point.,Back-and-forth argument threads.,Administrative disagreement (see administration_moderation).,a dispute over a dating hypothesis,,active,1.1.0
event_announcement,Event announcement,Announcement of a conference/talk/meeting.,CFPs; programme announcements.,The talk/paper content itself (see research_presentation).,a CFP for a conference,,active,1.1.0
publication_announcement_review,Publication announcement or review,Announcing or reviewing a new publication.,New-book notices; review posts.,Bibliographic requests (see bibliographic_request).,announcing a new monograph,,active,1.1.0
jobs_grants_training,"Jobs, grants, or training","Employment, funding, or training-opportunity notices.",Job postings; grant calls; fellowship announcements.,Course-content teaching exchange (see teaching_learning).,a postdoc posting,,active,1.1.0
curation_public_outreach,Curation and public outreach,Public-facing curation or outreach activity.,Museum/exhibit posts; popularization pieces.,Scholar-to-scholar research exchange.,a public-outreach blog post,,active,1.1.0
commemoration_obituary,Commemoration or obituary,Memorial or biographical tribute to a person.,Obituaries; anniversary tributes.,Ordinary biographical research (see institutions_field_history in intellectual_content).,an obituary notice,,active,1.1.0
administration_moderation,Administration or moderation,List/forum administrative or moderation activity.,Moderator notices; housekeeping posts.,Scholarly disagreement (see scholarly_debate).,a moderator housekeeping notice,,active,1.1.0
social_ritual_exchange,Social/ritual exchange,"Greetings, congratulations, or social pleasantries.",Holiday greetings; congratulatory notes.,Substantive content of any other kind.,a New Year greeting post,,active,1.1.0
other,Other,A recognizable community function not covered by the above.,Any coherent function outside the other labels.,"Anything that instead fits an existing label; structural records that perform no function in the medium (see not_applicable); unreadable items (see unknown).",,,active,1.1.0
unknown,Unknown,Insufficient evidence to assign a function; the item surely performed one.,Missing or unreadable subject/body evidence.,"Items where a function could be determined; structural records outside the medium's discourse (see not_applicable).",,,active,1.1.0
not_applicable,Not applicable,"The record is a structural or container artifact that performs no communicative function in the medium itself, so no function label can apply.","Synthetic container/event records; placeholder records for unavailable sources.","Any real message/post/presentation (every one of those performs some function, even if unknown); unreadable items (see unknown).",a placeholder record for an unavailable source,,active,1.1.0
