archive_author_slice_count,archive_first_year,archive_last_year,archive_list_functions,archive_message_count,archive_primary_topics,archive_summary_rows,archive_thread_count,comparison_note,conference_first_year,conference_last_year,conference_presentation_count,conference_scholar_count,conference_series,renou_axis,renou_code,renou_label
361,1992,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; philological discussion,518,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; History and culture; Manuscripts and epigraphy; Texts and philology; Veda and ritual,102,254,present in both layers,2004,2026,297,93,Roerich Readings; Zograf Readings,register,kavya,Kāvya
448,1990,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; obituary/memorial; philological discussion,563,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; Manuscripts and epigraphy; Texts and philology; Veda and ritual,104,336,present in both layers,2004,2026,57,34,Roerich Readings; Zograf Readings,register,epic,Epic
425,1991,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; philological discussion,649,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; Grammar and linguistics; Veda and ritual,81,324,present in both layers,2006,2026,20,13,Roerich Readings; Zograf Readings,register,vyakarana,Vyākaraṇa
347,1993,2025,announcement/event; bibliographic request; digital resource/tool; general discussion; philological discussion,523,Announcements and events; Bibliographic requests; Digital resources and tools; General scholarly discussion; Grammar and linguistics; Manuscripts and epigraphy; Texts and philology; Veda and ritual,61,283,present in both layers,2004,2025,17,10,Roerich Readings; Zograf Readings,register,rgveda,Ṛgveda
291,1993,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; list administration; obituary/memorial; philological discussion,365,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; History and culture; List administration,101,288,present in both layers,2009,2025,9,5,Roerich Readings; Zograf Readings,register,jaina,Jaina
229,1994,2025,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; philological discussion,293,Announcements and events; Bibliographic requests; Digital resources and tools; General scholarly discussion; Manuscripts and epigraphy; Texts and philology; Veda and ritual,63,154,present in both layers,2004,2026,116,74,Roerich Readings; Zograf Readings,register,bhasya,Bhāṣya
274,1992,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; philological discussion,355,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; History and culture; Manuscripts and epigraphy; Texts and philology; Veda and ritual,89,208,present in both layers,2007,2023,15,4,Roerich Readings; Zograf Readings,register,epig,Epigraphic
68,1994,2026,announcement/event; bibliographic request; general discussion; job/position; philological discussion,92,Announcements and events; Bibliographic requests; Buddhism and Jainism; General scholarly discussion; History and culture,26,46,present in both layers,2004,2026,156,57,Roerich Readings; Zograf Readings,register,bauddha,Bauddha
167,1993,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; job/position; philological discussion,211,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; History and culture; Manuscripts and epigraphy; Texts and philology; Veda and ritual,60,122,present in both layers,2004,2026,51,20,Roerich Readings; Zograf Readings,register,tantra,Tantra
155,1995,2026,announcement/event; bibliographic request; digital resource/tool; general discussion; identification/help request; philological discussion,174,Announcements and events; Bibliographic requests; Buddhism and Jainism; Digital resources and tools; General scholarly discussion; History and culture; Teaching and pedagogy; Texts and philology; Veda and ritual,49,115,present in both layers,2004,2026,50,31,Roerich Readings; Zograf Readings,register,katha,Kathā
136,1994,2026,announcement/event; digital resource/tool; general discussion; identification/help request; job/position; philological discussion,160,Announcements and events; Digital resources and tools; General scholarly discussion; Texts and philology,37,90,present in both layers,2004,2025,40,10,Roerich Readings; Zograf Readings,register,purana,Purāṇa
94,1996,2026,announcement/event; bibliographic request; general discussion; identification/help request; philological discussion,124,Announcements and events; Bibliographic requests; General scholarly discussion; Manuscripts and epigraphy,25,72,present in both layers,2004,2025,39,12,Roerich Readings; Zograf Readings,register,natya,Nāṭya
81,1994,2023,announcement/event; bibliographic request; identification/help request; philological discussion,108,Announcements and events; Bibliographic requests; Grammar and linguistics; Manuscripts and epigraphy; Texts and philology; Veda and ritual,25,67,present in both layers,2010,2025,31,17,Roerich Readings; Zograf Readings,register,sutra,Sūtra
117,1993,2025,announcement/event; general discussion; identification/help request; philological discussion,144,Announcements and events; Bibliographic requests; General scholarly discussion; Veda and ritual,28,79,present in both layers,2006,2026,10,8,Roerich Readings; Zograf Readings,register,upanisad,Upaniṣad
72,1995,2024,bibliographic request; general discussion; philological discussion,93,Bibliographic requests; General scholarly discussion; Texts and philology; Veda and ritual,22,47,present in both layers,2013,2025,9,8,Roerich Readings; Zograf Readings,register,brahmana,Brāhmaṇa
67,1994,2024,general discussion; identification/help request; philological discussion,77,Bibliographic requests; General scholarly discussion; Texts and philology; Veda and ritual,23,41,present in both layers,2008,2022,13,10,Roerich Readings; Zograf Readings,register,smrti,Smṛti
55,1994,2025,bibliographic request; general discussion; job/position; philological discussion,66,Announcements and events; Bibliographic requests; General scholarly discussion; Grammar and linguistics; Veda and ritual,22,46,present in both layers,2008,2021,3,3,Roerich Readings; Zograf Readings,register,atharva,Atharvaveda
12,1996,2021,general discussion,13,General scholarly discussion; Manuscripts and epigraphy,5,12,present in both layers,2016,2025,2,3,Roerich Readings,register,hors_inde,Outside India
19,1997,2022,digital resource/tool; general discussion; philological discussion,24,Bibliographic requests; Digital resources and tools; Veda and ritual,9,13,archive-only match,,,0,0,,register,yajus,Yajurveda
15,1996,2015,general discussion,17,General scholarly discussion,3,8,present in both layers,2018,2024,2,2,Roerich Readings,register,karika,Kārikā
