meso_code,discipline_code,confidence,note
buddhist_studies,buddhology,0.95,"Прямое соответствие."
pali_early_buddhism,buddhology,0.95,"Пали и ранний буддизм — ядро буддологии."
philosophy_epistemology,philosophy,0.90,"Прямое соответствие."
vedic_studies,sanskritology,0.95,"Ведийский корпус — санскритский."
sanskrit_grammar_panini,sanskritology,0.95,"Прямое соответствие."
epic_ramayana_mahabharata,sanskritology,0.80,"Эпосы — санскритские тексты."
epic_ramayana_mahabharata,literature,0.70,"Эпос изучается и как литература; двойная принадлежность ожидаема."
tibetology_himalaya,tibetology,0.95,"Прямое соответствие."
dravidology_south_india,dravidology,0.95,"Прямое соответствие."
history_of_indology,history_of_indology,0.95,"Прямое соответствие."
expeditions,history_of_indology,0.70,"Российские экспедиции описываются как сюжет истории дисциплины, а не истории Индии."
roerich_studies,history_of_indology,0.70,"Рериховедение — историография отечественной индологии."
travel_history,history_of_indology,0.60,"Путешественники как источник истории дисциплины; слабее expeditions."
visual_material_culture,art_studies,0.90,"Прямое соответствие."
museum_collections,art_studies,0.80,"Музейные собрания — искусствоведческий и коллекционный контур."
ritual_studies,religious_studies,0.90,"Прямое соответствие."
life_cycle_rituals,religious_studies,0.85,"Обряды жизненного цикла."
bhakti_vaishnava,religious_studies,0.90,"Бхакти."
vaishnava,religious_studies,0.90,"Вайшнавизм."
jain_studies,religious_studies,0.90,"Джайнизм."
sikh_studies,religious_studies,0.90,"Сикхизм."
yoga_ayurveda,religious_studies,0.70,"Йога и аюрведа как религиозная практика; часть докладов ближе к философии или медицине."
cosmology,religious_studies,0.60,"Космология чаще религиозная, но встречается и как философский сюжет."
literary_studies,literature,0.95,"Прямое соответствие (код literature — proposed, см. D1)."
modern_literature,literature,0.90,"Прямое соответствие."
english_literature,literature,0.80,"Англоязычная литература Индии и о ней."
prosody,literature,0.70,"Просодия — литературоведческий разбор."
prosody,sanskritology,0.50,"Часть просодических докладов о санскритской метрике; уверенность низкая."
metrics,literature,0.70,"Метрика — литературоведческий разбор."
metrics,sanskritology,0.50,"Часть метрических докладов о санскритском стихе; уверенность низкая."
translation_reception,literature,0.60,"Перевод и рецепция — по большей части литературный сюжет, но код методологический."
manuscripts_epigraphy,history_archaeology,0.60,"Эпиграфика — вспомогательная историческая дисциплина."
manuscripts_epigraphy,sanskritology,0.50,"Часть рукописей санскритские, часть — нет; уверенность низкая."
colonial_encounters,history_archaeology,0.80,"Колониальные контакты — история Индии."
ethnography_performance,ethnography,0.90,"Прямое соответствие (код ethnography — proposed, см. D1)."
fieldwork,ethnography,0.90,"Полевая работа."
modern_society_politics,ethnography,0.60,"Современное общество; строго говоря социология/политология, отдельного кода нет — см. D1."
hindi_urdu_new_indo_aryan,new_indo_aryan,0.95,"Прямое соответствие."
new_indo_aryan_languages,new_indo_aryan,0.95,"Прямое соответствие."
bengal_bhakti_modernity,religious_studies,0.70,"Бенгальское бхакти."
bengal_bhakti_modernity,new_indo_aryan,0.60,"Бенгальский — новоиндоарийский язык."
etymology,linguistics,0.85,"Прямое соответствие (код linguistics — proposed, см. D1)."
comparative_analysis,,0.00,"НЕ МАППИТСЯ: методологический код, а не предметная область."
bengal,,0.00,"НЕ МАППИТСЯ: региональный код. Бенгалия сама по себе не определяет дисциплину."
nepal_newar_kathmandu,,0.00,"НЕ МАППИТСЯ: региональный код. Невары — тибето-бирманцы, отнесение к tibetology было бы натяжкой."
china_mongolia_inner_asia,,0.00,"НЕ МАППИТСЯ: региональный код, к тому же за пределами Индии."
himalaya,,0.00,"НЕ МАППИТСЯ: региональный код; tibetology_himalaya несёт дисциплину отдельно."
assam,,0.00,"НЕ МАППИТСЯ: региональный код."
twentieth_century,,0.00,"НЕ МАППИТСЯ: хронологический код."
board_games,,0.00,"НЕ МАППИТСЯ: предметный микро-код без дисциплинарной привязки."
