thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
001483,Yoga Sutra verse differences,1994,Texts and philology,philological discussion,1,https://list.indology.info/pipermail/indology/1994-October/001483.html,,kavya; sutra,Kāvya; Sūtra,1,2,subject_pattern,subject matched `Sutra` using `register_sutra`; subject matched `verse` using `register_kavya`
006898,sutra and suta,1997,Texts and philology,philological discussion,1,https://list.indology.info/pipermail/indology/1997-February/006898.html,,sutra,Sūtra,1,1,subject_pattern,subject matched `sutra` using `register_sutra`
007455,Are violins endowed with religious significance? (was Re: european musical instruments in India),1997,History and culture,general discussion,12,https://list.indology.info/pipermail/indology/1997-March/007455.html,II,natya; sutra; vyakarana,Nāṭya; Pāṇinian; Sūtra; Vyākaraṇa,3,4,subject_pattern,subject matched `sUtra` using `register_sutra`; subject matched `Patanjali` using `state_II`; subject matched `Patanjali` using `register_vyakarana`; subject matched `play` using `register_natya`
007531,(Fwd) query: Gita tapes,1997,Texts and philology,identification/help request,7,https://list.indology.info/pipermail/indology/1997-April/007531.html,I; III,sutra,Epic & prolongements; Sūtra; Vedic,2,3,subject_pattern,subject matched `Gita` using `state_III`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
007572,Blind men and elephants,1997,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1997-April/007572.html,I,sutra,Sūtra; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
007566,european musical instruments in India,1997,History and culture,general discussion,7,https://list.indology.info/pipermail/indology/1997-April/007571.html,I,natya; sutra,Nāṭya; Sūtra; Vedic,5,8,subject_pattern,subject matched `sutra` using `register_sutra`; subject matched `play` using `register_natya`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
007574,"Rig Veda, ta'ntra, nUl, and sUtra",1997,Veda and ritual,philological discussion,1,https://list.indology.info/pipermail/indology/1997-April/007574.html,I,sutra,Sūtra; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
007570,avidya in Pali literature,1997,Buddhism and Jainism,general discussion,31,https://list.indology.info/pipermail/indology/1997-April/007570.html,I; III; V,natya; sutra; tantra,Buddhist / Jaina; Epic & prolongements; Nāṭya; Sūtra; Tantra; Vedic,15,27,subject_pattern,subject matched `Pali` using `state_V`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`; subject matched `sutra` using `register_sutra`; subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
007573,european musical instruments in India,1997,History and culture,general discussion,4,https://list.indology.info/pipermail/indology/1997-April/007573.html,V,sutra,Buddhist / Jaina; Sūtra,2,2,subject_pattern,subject matched `sutra` using `register_sutra`; subject matched `Pali` using `state_V`
007577,"Rig Veda, ta'ntra, nUl, and sUtra",1997,Veda and ritual,philological discussion,1,https://list.indology.info/pipermail/indology/1997-April/007577.html,I,sutra,Sūtra; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `sUtra` using `register_sutra`
