year,db_theme_ru,html_heading,theme_group_from_html,coded_talks,classical_medieval_pct,religion_history_literature_pct,top_l1,top_l2
2007,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2007»,generic_roerich,0,0.0,0.0,,
2008,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2008. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,0,0.0,0.0,,
2009,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2009. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,0,0.0,0.0,,
2010,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2010. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,1,100.0,0.0,philosophy:1,medieval:1
2012,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,"Конференция «Рериховские чтения 2012 (50). Текст и проблемы истории и теории культуры в древности и средневековье (Индия, Центральная Азия, Сибирь)»",generic_roerich,30,80.0,70.0,religion:9; history:8; linguistics:4,medieval:15; classical:9; modern:4
2013,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2013 (51). Текст и проблемы истории культуры древней и средневековой Индии и Центральной Азии»,generic_roerich,0,0.0,0.0,,
2014,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2014 (52). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,0,0.0,0.0,,
2015,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2015 (53). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,29,82.8,51.7,religion:6; literature:5; linguistics:5,medieval:13; classical:11; vedic:2
2016,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Рериховские чтения (2016). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии,text_formation,30,83.3,70.0,religion:12; literature:8; philosophy:4,classical:14; medieval:11; colonial:2
2017,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LVII Рериховские чтения (2017). Текст и интертекст в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,34,64.7,52.9,literature:9; linguistics:7; religion:7,medieval:11; classical:11; modern:3
2018,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LVIII Рериховские чтения (2018). Текст и память культуры: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,33,78.8,51.5,religion:7; art_archaeology:6; history:5,medieval:16; classical:10; modern:2
2019,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LIX Рериховские чтения (2019). Текст и смыслопорождение в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,30,83.3,63.3,religion:9; literature:7; art_archaeology:4,medieval:14; classical:11; vedic:1
2020,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Юбилейные LX Рериховские чтения – 2020 (60). Текст и смыслопорождение в культуре. Древняя и средневековая Индия и Центральная Азия.-,ancient_medieval_india,30,76.7,46.7,literature:7; philosophy:5; tibetology:4,classical:13; medieval:10; modern:3
2021,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXI Рериховские чтения (2021). Текст и пространство культуры: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,30,70.0,66.7,religion:9; literature:8; linguistics:4,medieval:11; classical:10; modern:6
2022,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXII Рериховские чтения (2022). Текст и культурная динамика: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,26,65.4,57.7,religion:8; linguistics:5; philosophy:5,medieval:10; classical:7; modern:4
2023,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXIII Рериховские чтения (2023). Текст и сдвиги в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,17,47.1,64.7,history:6; religion:5; philosophy:3,classical:6; vedic:4; modern:4
2024,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXIV Рериховские чтения (2024). Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,ancient_medieval_india,29,75.9,72.4,religion:8; literature:8; history:5,classical:11; medieval:11; modern:3
2025,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,"LXV Рериховские чтения (2025). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии, посвященные памяти Ю.Н. Рериха",text_formation,36,66.7,61.1,history:11; religion:7; philosophy:5,medieval:13; classical:11; modern:6
